"Town","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Andover","0901301080","2006-2010","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2006-2010","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2006-2010","Asian Alone","Number","Median Household Income",250001.0
"Andover","0901301080","2006-2010","Asian Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2006-2010","Asian Alone","Ratio to State Median","Median Household Income",3.09
"Andover","0901301080","2006-2010","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2006-2010","Black or African American Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2006-2010","Black or African American Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2006-2010","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2006-2010","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2006-2010","Hispanic or Latino","Number","Median Household Income",-9999.0
"Andover","0901301080","2006-2010","Hispanic or Latino","Number","Margins of Error",-9999.0
"Andover","0901301080","2006-2010","Hispanic or Latino","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2006-2010","Hispanic or Latino","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Andover","0901301080","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Andover","0901301080","2006-2010","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2006-2010","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2006-2010","Some Other Race Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2006-2010","Some Other Race Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2006-2010","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2006-2010","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2006-2010","Two or More Races","Number","Median Household Income",-9999.0
"Andover","0901301080","2006-2010","Two or More Races","Number","Margins of Error",-9999.0
"Andover","0901301080","2006-2010","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2006-2010","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2006-2010","White Alone","Number","Median Household Income",84637.0
"Andover","0901301080","2006-2010","White Alone","Number","Margins of Error",10978.0
"Andover","0901301080","2006-2010","White Alone","Ratio to State Median","Median Household Income",1.16
"Andover","0901301080","2006-2010","White Alone","Ratio to State Median","Margins of Error",0.15
"Andover","0901301080","2006-2010","White Alone Not Hispanic or Latino","Number","Median Household Income",84637.0
"Andover","0901301080","2006-2010","White Alone Not Hispanic or Latino","Number","Margins of Error",10978.0
"Andover","0901301080","2006-2010","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.13
"Andover","0901301080","2006-2010","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.15
"Andover","0901301080","2007-2011","All","Number","Median Household Income",91406.0
"Andover","0901301080","2007-2011","All","Number","Margins of Error",7765.0
"Andover","0901301080","2007-2011","All","Ratio to State Median","Median Household Income",1.32
"Andover","0901301080","2007-2011","All","Ratio to State Median","Margins of Error",0.11
"Andover","0901301080","2007-2011","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2007-2011","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2007-2011","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2007-2011","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2007-2011","Asian Alone","Number","Median Household Income",250001.0
"Andover","0901301080","2007-2011","Asian Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2007-2011","Asian Alone","Ratio to State Median","Median Household Income",3.05
"Andover","0901301080","2007-2011","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2007-2011","Black or African American Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2007-2011","Black or African American Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2007-2011","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2007-2011","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2007-2011","Hispanic or Latino","Number","Median Household Income",-9999.0
"Andover","0901301080","2007-2011","Hispanic or Latino","Number","Margins of Error",-9999.0
"Andover","0901301080","2007-2011","Hispanic or Latino","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2007-2011","Hispanic or Latino","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Andover","0901301080","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Andover","0901301080","2007-2011","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2007-2011","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2007-2011","Some Other Race Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2007-2011","Some Other Race Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2007-2011","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2007-2011","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2007-2011","Two or More Races","Number","Median Household Income",-9999.0
"Andover","0901301080","2007-2011","Two or More Races","Number","Margins of Error",-9999.0
"Andover","0901301080","2007-2011","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2007-2011","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2007-2011","White Alone","Number","Median Household Income",90406.0
"Andover","0901301080","2007-2011","White Alone","Number","Margins of Error",8701.0
"Andover","0901301080","2007-2011","White Alone","Ratio to State Median","Median Household Income",1.21
"Andover","0901301080","2007-2011","White Alone","Ratio to State Median","Margins of Error",0.12
"Andover","0901301080","2007-2011","White Alone Not Hispanic or Latino","Number","Median Household Income",90406.0
"Andover","0901301080","2007-2011","White Alone Not Hispanic or Latino","Number","Margins of Error",8701.0
"Andover","0901301080","2007-2011","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.18
"Andover","0901301080","2007-2011","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.11
"Andover","0901301080","2008-2012","All","Number","Median Household Income",97762.0
"Andover","0901301080","2008-2012","All","Number","Margins of Error",12656.0
"Andover","0901301080","2008-2012","All","Ratio to State Median","Median Household Income",1.41
"Andover","0901301080","2008-2012","All","Ratio to State Median","Margins of Error",0.18
"Andover","0901301080","2008-2012","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2008-2012","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2008-2012","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2008-2012","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2008-2012","Asian Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2008-2012","Asian Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2008-2012","Asian Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2008-2012","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2008-2012","Black or African American Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2008-2012","Black or African American Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2008-2012","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2008-2012","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2008-2012","Hispanic or Latino","Number","Median Household Income",-9999.0
"Andover","0901301080","2008-2012","Hispanic or Latino","Number","Margins of Error",-9999.0
"Andover","0901301080","2008-2012","Hispanic or Latino","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2008-2012","Hispanic or Latino","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Andover","0901301080","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Andover","0901301080","2008-2012","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2008-2012","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2008-2012","Some Other Race Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2008-2012","Some Other Race Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2008-2012","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2008-2012","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2008-2012","Two or More Races","Number","Median Household Income",-9999.0
"Andover","0901301080","2008-2012","Two or More Races","Number","Margins of Error",-9999.0
"Andover","0901301080","2008-2012","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2008-2012","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2008-2012","White Alone","Number","Median Household Income",93859.0
"Andover","0901301080","2008-2012","White Alone","Number","Margins of Error",10465.0
"Andover","0901301080","2008-2012","White Alone","Ratio to State Median","Median Household Income",1.25
"Andover","0901301080","2008-2012","White Alone","Ratio to State Median","Margins of Error",0.14
"Andover","0901301080","2008-2012","White Alone Not Hispanic or Latino","Number","Median Household Income",93859.0
"Andover","0901301080","2008-2012","White Alone Not Hispanic or Latino","Number","Margins of Error",10465.0
"Andover","0901301080","2008-2012","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.21
"Andover","0901301080","2008-2012","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.14
"Andover","0901301080","2009-2013","All","Number","Median Household Income",88438.0
"Andover","0901301080","2009-2013","All","Number","Margins of Error",16028.0
"Andover","0901301080","2009-2013","All","Ratio to State Median","Median Household Income",1.27
"Andover","0901301080","2009-2013","All","Ratio to State Median","Margins of Error",0.23
"Andover","0901301080","2009-2013","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2009-2013","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2009-2013","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2009-2013","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2009-2013","Asian Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2009-2013","Asian Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2009-2013","Asian Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2009-2013","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2009-2013","Black or African American Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2009-2013","Black or African American Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2009-2013","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2009-2013","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2009-2013","Hispanic or Latino","Number","Median Household Income",-9999.0
"Andover","0901301080","2009-2013","Hispanic or Latino","Number","Margins of Error",-9999.0
"Andover","0901301080","2009-2013","Hispanic or Latino","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2009-2013","Hispanic or Latino","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Andover","0901301080","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Andover","0901301080","2009-2013","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2009-2013","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2009-2013","Some Other Race Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2009-2013","Some Other Race Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2009-2013","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2009-2013","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2009-2013","Two or More Races","Number","Median Household Income",-9999.0
"Andover","0901301080","2009-2013","Two or More Races","Number","Margins of Error",-9999.0
"Andover","0901301080","2009-2013","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2009-2013","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2009-2013","White Alone","Number","Median Household Income",85707.0
"Andover","0901301080","2009-2013","White Alone","Number","Margins of Error",10545.0
"Andover","0901301080","2009-2013","White Alone","Ratio to State Median","Median Household Income",1.14
"Andover","0901301080","2009-2013","White Alone","Ratio to State Median","Margins of Error",0.14
"Andover","0901301080","2009-2013","White Alone Not Hispanic or Latino","Number","Median Household Income",85707.0
"Andover","0901301080","2009-2013","White Alone Not Hispanic or Latino","Number","Margins of Error",10545.0
"Andover","0901301080","2009-2013","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.1
"Andover","0901301080","2009-2013","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.14
"Andover","0901301080","2010-2014","All","Number","Median Household Income",97426.0
"Andover","0901301080","2010-2014","All","Number","Margins of Error",15646.0
"Andover","0901301080","2010-2014","All","Ratio to State Median","Median Household Income",1.39
"Andover","0901301080","2010-2014","All","Ratio to State Median","Margins of Error",0.22
"Andover","0901301080","2010-2014","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2010-2014","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2010-2014","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2010-2014","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2010-2014","Asian Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2010-2014","Asian Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2010-2014","Asian Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2010-2014","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2010-2014","Black or African American Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2010-2014","Black or African American Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2010-2014","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2010-2014","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2010-2014","Hispanic or Latino","Number","Median Household Income",-9999.0
"Andover","0901301080","2010-2014","Hispanic or Latino","Number","Margins of Error",-9999.0
"Andover","0901301080","2010-2014","Hispanic or Latino","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2010-2014","Hispanic or Latino","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Andover","0901301080","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Andover","0901301080","2010-2014","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2010-2014","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2010-2014","Some Other Race Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2010-2014","Some Other Race Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2010-2014","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2010-2014","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2010-2014","Two or More Races","Number","Median Household Income",-9999.0
"Andover","0901301080","2010-2014","Two or More Races","Number","Margins of Error",-9999.0
"Andover","0901301080","2010-2014","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2010-2014","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2010-2014","White Alone","Number","Median Household Income",93000.0
"Andover","0901301080","2010-2014","White Alone","Number","Margins of Error",15428.0
"Andover","0901301080","2010-2014","White Alone","Ratio to State Median","Median Household Income",1.23
"Andover","0901301080","2010-2014","White Alone","Ratio to State Median","Margins of Error",0.2
"Andover","0901301080","2010-2014","White Alone Not Hispanic or Latino","Number","Median Household Income",91471.0
"Andover","0901301080","2010-2014","White Alone Not Hispanic or Latino","Number","Margins of Error",15092.0
"Andover","0901301080","2010-2014","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.16
"Andover","0901301080","2010-2014","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.19
"Andover","0901301080","2011-2015","All","Number","Median Household Income",100321.0
"Andover","0901301080","2011-2015","All","Number","Margins of Error",11133.0
"Andover","0901301080","2011-2015","All","Ratio to State Median","Median Household Income",1.43
"Andover","0901301080","2011-2015","All","Ratio to State Median","Margins of Error",0.16
"Andover","0901301080","2011-2015","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2011-2015","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2011-2015","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2011-2015","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2011-2015","Asian Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2011-2015","Asian Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2011-2015","Asian Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2011-2015","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2011-2015","Black or African American Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2011-2015","Black or African American Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2011-2015","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2011-2015","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2011-2015","Hispanic or Latino","Number","Median Household Income",-9999.0
"Andover","0901301080","2011-2015","Hispanic or Latino","Number","Margins of Error",-9999.0
"Andover","0901301080","2011-2015","Hispanic or Latino","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2011-2015","Hispanic or Latino","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Andover","0901301080","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Andover","0901301080","2011-2015","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2011-2015","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2011-2015","Some Other Race Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2011-2015","Some Other Race Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2011-2015","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2011-2015","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2011-2015","Two or More Races","Number","Median Household Income",-9999.0
"Andover","0901301080","2011-2015","Two or More Races","Number","Margins of Error",-9999.0
"Andover","0901301080","2011-2015","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2011-2015","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2011-2015","White Alone","Number","Median Household Income",98698.0
"Andover","0901301080","2011-2015","White Alone","Number","Margins of Error",13312.0
"Andover","0901301080","2011-2015","White Alone","Ratio to State Median","Median Household Income",1.29
"Andover","0901301080","2011-2015","White Alone","Ratio to State Median","Margins of Error",0.17
"Andover","0901301080","2011-2015","White Alone Not Hispanic or Latino","Number","Median Household Income",98542.0
"Andover","0901301080","2011-2015","White Alone Not Hispanic or Latino","Number","Margins of Error",13548.0
"Andover","0901301080","2011-2015","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.24
"Andover","0901301080","2011-2015","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.17
"Andover","0901301080","2012-2016","All","Number","Median Household Income",100724.0
"Andover","0901301080","2012-2016","All","Number","Margins of Error",12578.0
"Andover","0901301080","2012-2016","All","Ratio to State Median","Median Household Income",1.4
"Andover","0901301080","2012-2016","All","Ratio to State Median","Margins of Error",0.18
"Andover","0901301080","2012-2016","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2012-2016","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2012-2016","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2012-2016","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2012-2016","Asian Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2012-2016","Asian Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2012-2016","Asian Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2012-2016","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2012-2016","Black or African American Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2012-2016","Black or African American Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2012-2016","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2012-2016","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2012-2016","Hispanic or Latino","Number","Median Household Income",79125.0
"Andover","0901301080","2012-2016","Hispanic or Latino","Number","Margins of Error",47988.0
"Andover","0901301080","2012-2016","Hispanic or Latino","Ratio to State Median","Median Household Income",1.88
"Andover","0901301080","2012-2016","Hispanic or Latino","Ratio to State Median","Margins of Error",1.14
"Andover","0901301080","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Andover","0901301080","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Andover","0901301080","2012-2016","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2012-2016","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2012-2016","Some Other Race Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2012-2016","Some Other Race Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2012-2016","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2012-2016","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2012-2016","Two or More Races","Number","Median Household Income",-9999.0
"Andover","0901301080","2012-2016","Two or More Races","Number","Margins of Error",-9999.0
"Andover","0901301080","2012-2016","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2012-2016","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2012-2016","White Alone","Number","Median Household Income",99135.0
